city,id,pop,median,count,type,mean
Baden-Württemberg,,10879.618,,9326,FA,0.857199214163586
Baden-Württemberg,,10879.618,,7127,HA,0.655078147045236
Baden-Württemberg,,10879.618,,5391,ZA,0.495513721161901
Abstatt,125001,4752,44,0,FA,0.0
Abstatt,125001,4752,44,5,HA,1.0521885521885523
Abstatt,125001,4752,44,2,ZA,0.4208754208754209
Bad Friedrichshall,125005,19019,41,21,FA,1.1041589988958411
Bad Friedrichshall,125005,19019,41,10,HA,0.52578999947421
Bad Friedrichshall,125005,19019,41,12,ZA,0.6309479993690521
Bad Rappenau,125006,20510,46,12,FA,0.5850804485616772
Bad Rappenau,125006,20510,46,12,HA,0.5850804485616772
Bad Rappenau,125006,20510,46,14,ZA,0.68259385665529
Bad Wimpfen,125007,6971,46,6,FA,0.8607086501219338
Bad Wimpfen,125007,6971,46,7,HA,1.0041600918089226
Bad Wimpfen,125007,6971,46,5,ZA,0.7172572084349448
Beilstein,125008,6178,47,5,FA,0.809323405632891
Beilstein,125008,6178,47,5,HA,0.809323405632891
Beilstein,125008,6178,47,4,ZA,0.6474587245063127
Brackenheim,125013,15727,43,15,FA,0.9537737648629745
Brackenheim,125013,15727,43,7,HA,0.44509442360272145
Brackenheim,125013,15727,43,11,ZA,0.699434094232848
Bretzfeld,126011,12367,44,2,FA,0.1617207083367025
Bretzfeld,126011,12367,44,5,HA,0.4043017708417563
Bretzfeld,126011,12367,44,2,ZA,0.1617207083367025
Cleebronn,125017,2858,43,0,FA,0.0
Cleebronn,125017,2858,43,1,HA,0.34989503149055284
Cleebronn,125017,2858,43,1,ZA,0.34989503149055284
Dörzbach,126020,2463,42,0,FA,0.0
Dörzbach,126020,2463,42,2,HA,0.8120178643930166
Dörzbach,126020,2463,42,1,ZA,0.4060089321965083
Eberstadt,125021,3175,45,0,FA,0.0
Eberstadt,125021,3175,45,1,HA,0.31496062992125984
Eberstadt,125021,3175,45,0,ZA,0.0
Ellhofen,125024,3562,44,1,FA,0.2807411566535654
Ellhofen,125024,3562,44,1,HA,0.2807411566535654
Ellhofen,125024,3562,44,2,ZA,0.5614823133071308
Eppingen,125026,21312,43,20,FA,0.9384384384384384
Eppingen,125026,21312,43,16,HA,0.7507507507507507
Eppingen,125026,21312,43,10,ZA,0.4692192192192192
Erlenbach,125027,4969,45,0,FA,0.0
Erlenbach,125027,4969,45,2,HA,0.4024954719259408
Erlenbach,125027,4969,45,1,ZA,0.2012477359629704
Flein,125030,6918,47,3,FA,0.43365134431916735
Flein,125030,6918,47,2,HA,0.28910089621277824
Flein,125030,6918,47,4,ZA,0.5782017924255565
Forchtenberg,126028,4919,44,3,FA,0.6098800569221386
Forchtenberg,126028,4919,44,6,HA,1.2197601138442773
Forchtenberg,126028,4919,44,1,ZA,0.20329335230737958
Gemmingen,125034,5080,45,0,FA,0.0
